index,filename,blob_px,cx_px,cy_px,bw_px,bh_px
0,frame_000000.jpg,39,1018.8,595.2,44.0,32.0
1,frame_000001.jpg,39,1018.8,595.2,44.0,32.0
2,frame_000002.jpg,39,1018.8,595.2,44.0,32.0
3,frame_000003.jpg,39,1018.8,595.2,44.0,32.0
4,frame_000004.jpg,39,1018.8,595.2,44.0,32.0
5,frame_000005.jpg,39,1018.8,595.2,44.0,32.0
6,frame_000006.jpg,40,1018.3,594.8,44.0,32.0
7,frame_000007.jpg,39,1018.8,595.2,44.0,32.0
8,frame_000008.jpg,39,1018.8,595.2,44.0,32.0
9,frame_000009.jpg,39,1018.8,595.2,44.0,32.0
10,frame_000010.jpg,39,1018.5,595.0,44.0,32.0
11,frame_000011.jpg,39,1018.8,595.2,44.0,32.0
12,frame_000012.jpg,39,1018.8,595.2,44.0,32.0
13,frame_000013.jpg,39,1018.8,595.2,44.0,32.0
14,frame_000014.jpg,38,1018.9,595.4,44.0,32.0
15,frame_000015.jpg,39,1018.8,595.2,44.0,32.0
16,frame_000016.jpg,39,1018.8,595.2,44.0,32.0
17,frame_000017.jpg,40,1018.3,594.8,44.0,32.0
18,frame_000018.jpg,39,1018.8,595.2,44.0,32.0
19,frame_000019.jpg,40,1018.3,594.8,44.0,32.0
20,frame_000020.jpg,39,1018.8,595.2,44.0,32.0
21,frame_000021.jpg,39,1018.8,595.2,44.0,32.0
22,frame_000022.jpg,39,1018.8,595.2,44.0,32.0
23,frame_000023.jpg,40,1018.3,594.8,44.0,32.0
24,frame_000024.jpg,39,1018.8,595.2,44.0,32.0
25,frame_000025.jpg,39,1018.8,595.2,44.0,32.0
26,frame_000026.jpg,39,1018.8,595.2,44.0,32.0
27,frame_000027.jpg,39,1018.8,595.2,44.0,32.0
28,frame_000028.jpg,38,1018.3,594.9,44.0,32.0
29,frame_000029.jpg,38,1018.3,594.9,44.0,32.0
30,frame_000030.jpg,38,1018.3,594.9,44.0,32.0
31,frame_000031.jpg,38,1018.3,594.9,44.0,32.0
32,frame_000032.jpg,38,1018.3,594.9,44.0,32.0
33,frame_000033.jpg,38,1018.3,594.9,44.0,32.0
34,frame_000034.jpg,22,1017.8,587.1,44.0,20.0
35,frame_000035.jpg,19,1015.2,587.8,36.0,16.0
36,frame_000036.jpg,22,1017.8,587.1,44.0,20.0
37,frame_000037.jpg,19,1015.2,587.8,36.0,16.0
38,frame_000038.jpg,19,1015.2,587.8,36.0,16.0
39,frame_000039.jpg,19,1015.2,587.8,36.0,16.0
40,frame_000040.jpg,19,1015.2,587.8,36.0,16.0
41,frame_000041.jpg,19,1015.2,587.8,36.0,16.0
42,frame_000042.jpg,19,1015.2,587.8,36.0,16.0
43,frame_000043.jpg,19,1015.2,587.8,36.0,16.0
44,frame_000044.jpg,19,1015.2,587.8,36.0,16.0
45,frame_000045.jpg,19,1015.2,587.8,36.0,16.0
46,frame_000046.jpg,19,1015.2,587.8,36.0,16.0
47,frame_000047.jpg,19,1015.2,587.8,36.0,16.0
48,frame_000048.jpg,19,1015.2,587.8,36.0,16.0
49,frame_000049.jpg,36,1016.4,596.2,40.0,28.0
50,frame_000050.jpg,36,1016.4,596.2,40.0,28.0
51,frame_000051.jpg,35,1016.3,596.2,40.0,28.0
52,frame_000052.jpg,35,1016.3,596.2,40.0,28.0
53,frame_000053.jpg,35,1016.3,596.2,40.0,28.0
54,frame_000054.jpg,35,1016.3,596.2,40.0,28.0
55,frame_000055.jpg,35,1016.3,596.2,40.0,28.0
56,frame_000056.jpg,38,1017.8,595.1,44.0,32.0
57,frame_000057.jpg,38,1017.8,595.1,44.0,32.0
58,frame_000058.jpg,39,1017.3,595.4,44.0,32.0
59,frame_000059.jpg,39,1017.3,595.4,44.0,32.0
60,frame_000060.jpg,37,1016.8,595.2,44.0,32.0
61,frame_000061.jpg,36,1016.2,595.7,44.0,32.0
